Potential Fraud Cases for Over_and_Undersampled Random Forest run

        Class  Amount_Scaled  Time_Scaled
163769      1      -0.028086     0.370105
13725       1       0.950045    -0.709007
150666      1       0.782505     0.107708
18150       1       0.950045    -0.651535
19183       1       0.950045    -0.641678
154720      1       1.365751     0.211281
15476       1       1.089779    -0.679390
6882        1      -0.292042    -0.891505
276864      1       4.570391     0.970947
42007       1      -0.296793    -0.514268
150679      1       1.146231     0.107931
208651      1       0.243834     0.617007
189878      1      -0.293440     0.515784
8312        1      -0.293440    -0.864672
12325       1       0.950045    -0.741574
15204       1       1.089779    -0.682997
191690      1      -0.307413     0.524900
16415       1       0.019004    -0.668570
42700       1       0.115420    -0.510908
6529        1      -0.293440    -0.902278
141259      1       6.850416    -0.005733
181966      1       0.251520     0.475898
119781      1       1.432684    -0.107038
164955      1       1.369245     0.380843
156990      1       2.293440     0.289078
151009      1      -0.293440     0.113606
14026       1       0.950045    -0.701806
13405       1       0.950045    -0.716573
76555       1       1.836931    -0.329750
225389      1      -0.296653     0.699421
89190       1      19.285405    -0.261105
178208      1       0.328513     0.456220
249828      1      -0.213233     0.821285
83053       1      -0.219800    -0.293977
149874      1       8.086774     0.087055
6336        1      -0.293440    -0.906366
154694      1       4.540488     0.210646
15751       1       1.089779    -0.675584
215984      1       7.977363     0.653391
117957      1      -0.293440    -0.115180
215953      1      -0.296653     0.653215
84543       1       6.047928    -0.285941
249167      1      20.721442     0.817514
150925      1       0.328093     0.111009
143334      1      -0.307413     0.006967
14211       1       1.089779    -0.698293
42784       1       0.328233    -0.510450
69498       1      -0.195626    -0.367027
201601      1       1.512052     0.578790
152295      1      -0.170195     0.147358
281144      1       3.116048     1.001821
10801       1      -0.293440    -0.778827
150662      1       4.108992     0.107626
184541      1      -0.296653     0.488669
79525       1      -0.293440    -0.312880
252774      1      -0.296653     0.837334
204503      1       0.870258     0.594720
106998      1      -0.254454    -0.169915
150665      1       2.622092     0.107661
81609       1      19.109341    -0.301707
243393      1      -0.307273     0.789765
